Gene,Drug,test.ROC.AUC,Varimp.Score
CD59,Gemcitabine,1,82.7940424902625
FGFR3,Gemcitabine,1,82.7940424902625
SDC2,Gemcitabine,1,82.7940424902625
KDM3A,Gemcitabine,1,85.3198951014858
OXTR,Gemcitabine,1,85.3198951014858
TFPI,Gemcitabine,1,91.372268969648
FYN,Gemcitabine,1,85.1283966504887
ITGAV,Gemcitabine,1,85.1283966504887
ALDH2,Gemcitabine,0.95,81.3505941599814
IDUA,Gemcitabine,0.95,92.4089736612826
COL12A1,Gemcitabine,1,85.3198951014858
EFEMP1,Gemcitabine,1,85.3198951014858
HOMER2,Gemcitabine,1,85.3198951014858
KCNK5,Gemcitabine,1,85.3198951014858
JUN,Gemcitabine,0.95,82.7940424902625
PFKL,Gemcitabine,0.95,82.7940424902625
WWC1,Gemcitabine,0.95,82.7940424902625
C1S,Gemcitabine,1,100
MTA1,Gemcitabine,1,84.0627477508349
STC2,Gemcitabine,1,84.0627477508349
A2M,Gemcitabine,1,84.8522591028208
SFMBT1,Gemcitabine,1,90.47275645327
CKB,Gemcitabine,0.95,88.0332190011819
PTPRM,Gemcitabine,0.95,81.6926751446044
DDB2,Gemcitabine,1,90.0008453932176
PMM1,Gemcitabine,1,90.0008453932176
TSPAN13,Gemcitabine,1,90.0008453932176
SYBU,Gemcitabine,1,86.9730226388138
GRK5,Gemcitabine,1,100
BASP1,Gemcitabine,1,85.3198951014858
EXT1,Gemcitabine,1,85.3198951014858
INSIG1,Gemcitabine,1,85.3198951014858
TSTA3,Gemcitabine,1,100
KLF7,Gemcitabine,1,85.1283966504887
PFKP,Gemcitabine,1,89.6077449580258
SLC25A10,Gemcitabine,1,88.5588877884443
B4GALT4,Gemcitabine,0.9,91.6685507334855
ADD3,Gemcitabine,1,84.9318360623059
CALU,Gemcitabine,1,84.9318360623059
DKK1,Gemcitabine,1,100
PLAT,Gemcitabine,1,100
CHPF2,Gemcitabine,0.95,82.7940424902625
CHRNB1,Gemcitabine,0.95,82.7940424902625
ELF3,Gemcitabine,0.95,82.7940424902625
RAB17,Gemcitabine,1,80.5201442911208
SAT1,Gemcitabine,1,98.4907639893799
COL3A1,Gemcitabine,1,85.1283966504887
AK3,Gemcitabine,1,83.9337415344357
TGFBR3,Gemcitabine,1,85.1283966504887
USP11,Gemcitabine,1,85.1283966504887
FASN,Gemcitabine,1,85.3198951014858
MYO1C,Gemcitabine,1,85.3198951014858
PEX14,Gemcitabine,1,85.1283966504887
GPC4,Gemcitabine,0.95,89.9466044962978
IGFBP7,Gemcitabine,1,85.3198951014858
PDE4DIP,Gemcitabine,0.95,83.368357194825
ABCC3,I-BET,1,100
BMP2,I-BET,1,85.1283966504887
CNN2,I-BET,1,85.1283966504887
CSTF2,I-BET,1,85.1283966504887
DCLRE1B,I-BET,1,85.1283966504887
EXOSC7,I-BET,1,85.1283966504887
FAS,I-BET,1,85.1283966504887
G3BP1,I-BET,1,85.1283966504887
GDA,I-BET,1,85.1283966504887
HK2,I-BET,1,85.1283966504887
ICAM1,I-BET,1,85.1283966504887
IL23A,I-BET,1,85.1283966504887
LIMA1,I-BET,1,98.695523960347
PAPSS2,I-BET,1,85.1283966504887
PCBP1,I-BET,1,85.1283966504887
PSMA7,I-BET,1,85.1283966504887
PSMD8,I-BET,1,85.1283966504887
PTTG1,I-BET,1,85.1283966504887
RANBP1,I-BET,1,85.1283966504887
RAP1GAP,I-BET,1,85.1283966504887
SNRPD2,I-BET,1,85.1283966504887
SPP1,I-BET,1,85.1283966504887
TFDP1,I-BET,1,85.1283966504887
TIMP1,I-BET,1,85.1283966504887
U2AF1,I-BET,1,85.1283966504887
WRAP73,I-BET,1,98.695523960347
AIMP2,I-BET,0.833333333333333,100
ARID4A,I-BET,0.833333333333333,100
CAPG,I-BET,0.833333333333333,98.4163762231492
TRIB2,I-BET,0.833333333333333,89.8482126339166
CD82,I-BET,1,100
CDK5R1,I-BET,1,100
ETS1,I-BET,1,100
GCLC,I-BET,1,100
GPR132,I-BET,1,100
IL1B,I-BET,1,100
NDC80,I-BET,1,100
PDK4,I-BET,1,100
POR,I-BET,1,100
PTGER4,I-BET,1,100
TGFBR3,I-BET,1,100
AKR1C2,I-BET,1,86.2535535904251
CD274,I-BET,1,86.2535535904251
CDKN2A,I-BET,1,86.2535535904251
CENPM,I-BET,1,86.2535535904251
FUT4,I-BET,1,86.2535535904251
GAD1,I-BET,1,86.2535535904251
IDH1,I-BET,1,86.2535535904251
LAS1L,I-BET,1,86.2535535904251
LCP1,I-BET,1,86.2535535904251
MASP2,I-BET,1,100
MMP14,I-BET,1,86.2535535904251
RPL14,I-BET,1,86.2535535904251
RPL18,I-BET,1,86.2535535904251
RPL39,I-BET,1,86.2535535904251
SLC29A1,I-BET,1,86.2535535904251
SLIT2,I-BET,1,86.2535535904251
SPARC,I-BET,1,86.2535535904251
TFPI2,I-BET,1,86.2535535904251
TPST1,I-BET,1,86.2535535904251
GADD45B,I-BET,1,81.6926751446044
IL16,I-BET,1,89.3822074633053
CSE1L,I-BET,1,85.3198951014858
ETFDH,I-BET,1,85.3198951014858
F2,I-BET,1,98.7123214189051
FARP1,I-BET,1,85.3198951014858
HMGB3,I-BET,1,85.3198951014858
IMPDH2,I-BET,1,85.3198951014858
NMU,I-BET,1,85.3198951014858
POLE4,I-BET,1,85.3198951014858
RABEPK,I-BET,1,85.3198951014858
TGM2,I-BET,1,92.6599475507429
TPX2,I-BET,1,98.7123214189051
LIG1,I-BET,1,100
ADAM9,I-BET,1,100
CFI,I-BET,1,85.1283966504887
CUL4A,I-BET,1,85.1283966504887
DNMT1,I-BET,1,85.1283966504887
DPP4,I-BET,1,92.5641983252443
DR1,I-BET,1,85.1283966504887
ECH1,I-BET,1,85.1283966504887
FOXC1,I-BET,1,85.1283966504887
IGFBP3,I-BET,1,85.1283966504887
MAFF,I-BET,1,85.1283966504887
RNASEH2A,I-BET,1,85.1283966504887
RPL36,I-BET,1,85.1283966504887
SGK1,I-BET,1,85.1283966504887
SNRPB,I-BET,1,85.1283966504887
VBP1,I-BET,1,85.1283966504887
EIF2S2,I-BET,1,89.5055923838693
NDUFAF4,I-BET,1,100
AURKB,I-BET,1,85.3430078201648
CDC25B,I-BET,1,85.3430078201648
CDC27,I-BET,1,85.3430078201648
DLGAP5,I-BET,1,93.376137052947
G0S2,I-BET,1,85.3430078201648
GCNT1,I-BET,1,85.3430078201648
GNMT,I-BET,1,85.3430078201648
INHBA,I-BET,1,85.3430078201648
JUNB,I-BET,1,85.3430078201648
KRT17,I-BET,1,85.3430078201648
MXD1,I-BET,1,85.3430078201648
UBR7,I-BET,1,85.3430078201648
IL17RB,I-BET,1,100
CADM1,I-BET,1,88.3057650443162
PRDX4,I-BET,1,88.3057650443162
A2M,I-BET,1,100
ALDH3A1,I-BET,1,85.1283966504887
AURKA,I-BET,1,97.3910479206939
CIT,I-BET,1,85.1283966504887
CLU,I-BET,1,85.1283966504887
DCBLD2,I-BET,1,85.1283966504887
FLNA,I-BET,1,85.1283966504887
MARCKS,I-BET,1,85.1283966504887
MRPL9,I-BET,1,85.1283966504887
PPAN,I-BET,1,100
UBE2T,I-BET,1,85.1283966504887
DKC1,I-BET,1,82.7940424902625
EXOSC8,I-BET,1,98.4907639893799
F10,I-BET,1,82.7940424902625
ILF3,I-BET,1,82.7940424902625
IRAK1,I-BET,1,100
KIF4A,I-BET,1,82.7940424902625
YWHAH,I-BET,1,96.9815279787598
SMARCC1,I-BET,1,91.1904023422353
ELF4,I-BET,1,100
MELK,I-BET,1,88.0332190011819
CDH3,I-BET,1,85.3430078201648
DIAPH3,I-BET,1,85.3430078201648
FUCA1,I-BET,1,85.3430078201648
LY75,I-BET,1,100
UGDH,I-BET,1,85.3430078201648
ABCC2,I-BET,1,82.7940424902625
JAG1,I-BET,1,98.4907639893799
NDRG2,I-BET,1,100
PGD,I-BET,1,82.7940424902625
SPHK1,I-BET,1,82.7940424902625
TP53,I-BET,1,88.3057650443162
CDKN2B,I-BET,1,100
CKS1B,I-BET,1,82.9680164521987
EPS8L2,I-BET,1,80.6620333273341
TCP1,I-BET,1,81.8150248897664
GSR,I-BET,1,100
LPAR1,I-BET,1,98.4907639893799
OSMR,I-BET,1,100
PTX3,I-BET,1,82.7940424902625
TXNIP,I-BET,1,82.7940424902625
ALDH2,I-BET,1,93.3528427981884
CCR7,I-BET,1,80.5201442911208
RRP9,I-BET,1,80.5201442911208
SQLE,I-BET,1,80.5201442911208
SRM,I-BET,1,80.5201442911208
CUL5,I-BET,1,91.6685507334855
ANGPTL3,I-BET,0.944444444444444,85.3198951014858
APEX1,I-BET,0.944444444444444,85.3198951014858
EIF4A1,I-BET,0.944444444444444,85.3198951014858
EXOSC5,I-BET,0.944444444444444,85.3198951014858
HRAS,I-BET,0.944444444444444,85.3198951014858
HUS1,I-BET,0.944444444444444,85.3198951014858
MSH2,I-BET,0.944444444444444,85.3198951014858
POLD2,I-BET,0.944444444444444,85.3198951014858
RBBP7,I-BET,0.944444444444444,85.3198951014858
RUVBL2,I-BET,0.944444444444444,97.4246428378102
S100A1,I-BET,0.944444444444444,85.3198951014858
FOXN3,I-BET,0.888888888888889,85.1283966504887
MCM4,I-BET,0.888888888888889,85.1283966504887
NINJ1,I-BET,0.888888888888889,85.1283966504887
CDH4,I-BET,1,91.9668707672179
GINS3,I-BET,1,91.9668707672179
ID2,I-BET,1,91.9668707672179
VDR,I-BET,1,91.9668707672179
FARSA,I-BET,1,85.3198951014858
IL4R,I-BET,1,85.3198951014858
CENPA,I-BET,1,100
KLF6,I-BET,0.944444444444444,100
PGK1,I-BET,0.944444444444444,85.1283966504887
SEMA4D,I-BET,0.944444444444444,85.1283966504887
UPF1,I-BET,0.944444444444444,85.1283966504887
LOXL2,I-BET,1,100
PEF1,I-BET,1,85.1283966504887
DSC3,I-BET,1,91.1904023422353
HMGN2,I-BET,1,91.1904023422353
MCM6,I-BET,0.944444444444444,82.7940424902625
MMP9,I-BET,0.944444444444444,82.7940424902625
ST6GALNAC2,I-BET,0.944444444444444,82.7940424902625
FDFT1,I-BET,1,85.1283966504887
GP1BA,I-BET,1,89.3822074633053
TNFRSF12A,I-BET,1,88.0332190011819
PDS5B,I-BET,0.888888888888889,86.5979500868915
COL4A2,I-BET,0.833333333333333,81.2429421431699
E2F8,I-BET,0.833333333333333,100
IL1R1,I-BET,0.833333333333333,81.2429421431699
NUMA1,I-BET,0.833333333333333,81.2429421431699
PPM1G,I-BET,0.833333333333333,82.387871536328
SERPINB5,I-BET,0.833333333333333,80.0980127500119
PHLDA2,I-BET,1,85.3198951014858
RBBP8,I-BET,1,100
CTSO,I-BET,1,85.1283966504887
EIF3D,I-BET,1,85.1283966504887
MT2A,I-BET,1,85.1283966504887
RRP8,I-BET,1,83.9337415344357
PURA,I-BET,1,100
DMD,I-BET,1,100
PLOD3,I-BET,1,100
ING3,I-BET,1,82.7940424902625
PRPS1,I-BET,1,82.7940424902625
SLC7A5,I-BET,1,82.7940424902625
STIL,I-BET,1,82.7940424902625
BLCAP,I-BET,1,82.7940424902625
PCDH1,I-BET,1,82.7940424902625
RRM2,I-BET,1,82.7940424902625
SDC1,I-BET,1,82.7940424902625
COL6A2,I-BET,1,82.7940424902625
PYCR1,I-BET,1,81.4280351925495
LOX,I-BET,1,82.7940424902625
RHOG,I-BET,1,82.7940424902625
RPS6KA2,I-BET,1,82.7940424902625
ADAM8,Imatinib,1,84.9318360623059
ADM,Imatinib,1,84.9318360623059
ATP6V1D,Imatinib,1,84.9318360623059
BRMS1L,Imatinib,1,100
CCT7,Imatinib,1,84.9318360623059
CTHRC1,Imatinib,1,84.9318360623059
DDX60,Imatinib,1,84.9318360623059
DLGAP5,Imatinib,1,84.9318360623059
EIF2S1,Imatinib,1,84.9318360623059
G3BP1,Imatinib,1,84.9318360623059
GINS3,Imatinib,1,84.9318360623059
GLUL,Imatinib,1,84.9318360623059
GRWD1,Imatinib,1,100
GYS1,Imatinib,1,84.9318360623059
HK2,Imatinib,1,100
IER5,Imatinib,1,84.9318360623059
IRF6,Imatinib,1,84.9318360623059
KRT15,Imatinib,1,98.6782824718807
LCP1,Imatinib,1,84.9318360623059
LUC7L3,Imatinib,1,84.9318360623059
MRPL11,Imatinib,1,84.9318360623059
MRPS30,Imatinib,1,84.9318360623059
MSN,Imatinib,1,84.9318360623059
MX2,Imatinib,1,84.9318360623059
NDUFB8,Imatinib,1,84.9318360623059
OGDH,Imatinib,1,84.9318360623059
PCBP1,Imatinib,1,84.9318360623059
PCDH7,Imatinib,1,84.9318360623059
PIM1,Imatinib,1,84.9318360623059
PLEK2,Imatinib,1,84.9318360623059
RANBP1,Imatinib,1,84.9318360623059
RCHY1,Imatinib,1,100
RETSAT,Imatinib,1,84.9318360623059
SAT1,Imatinib,1,84.9318360623059
SDF2L1,Imatinib,1,84.9318360623059
SERPINB5,Imatinib,1,84.9318360623059
SERPINH1,Imatinib,1,100
SGMS2,Imatinib,1,100
SLC6A8,Imatinib,1,84.9318360623059
TIMM9,Imatinib,1,84.9318360623059
TIMP1,Imatinib,1,98.6782824718807
TP63,Imatinib,1,84.9318360623059
TPD52,Imatinib,1,84.9318360623059
TSPO,Imatinib,1,84.9318360623059
U2AF1,Imatinib,1,84.9318360623059
UQCR10,Imatinib,1,84.9318360623059
ACTN1,Imatinib,0.95,85.3198951014858
AQP3,Imatinib,0.95,85.3198951014858
ASS1,Imatinib,0.95,85.3198951014858
CELSR1,Imatinib,0.95,85.3198951014858
COX17,Imatinib,0.95,85.3198951014858
GADD45A,Imatinib,0.95,85.3198951014858
GJB3,Imatinib,0.95,85.3198951014858
IFITM3,Imatinib,0.95,85.3198951014858
MAOA,Imatinib,0.95,85.3198951014858
MTX2,Imatinib,0.95,85.3198951014858
PPP1R15A,Imatinib,0.95,85.3198951014858
RDH11,Imatinib,0.95,85.3198951014858
RRP8,Imatinib,0.95,85.3198951014858
SC5D,Imatinib,0.95,85.3198951014858
SFN,Imatinib,0.95,85.3198951014858
SLC2A1,Imatinib,0.95,100
SYK,Imatinib,0.95,85.3198951014858
XAF1,Imatinib,0.95,85.3198951014858
CHPT1,Imatinib,0.95,88.5890979509097
MXD1,Imatinib,0.95,88.5890979509097
SUCLG1,Imatinib,0.95,89.9466044962978
ACSL3,Imatinib,0.95,84.0627477508349
ARFGAP1,Imatinib,0.95,84.0627477508349
CTSC,Imatinib,0.95,84.0627477508349
FABP5,Imatinib,0.95,84.0627477508349
FOSB,Imatinib,0.95,84.0627477508349
FOXC1,Imatinib,0.95,84.0627477508349
HNRNPD,Imatinib,0.95,84.0627477508349
IL18,Imatinib,0.95,84.0627477508349
MCM6,Imatinib,0.95,84.0627477508349
NOP56,Imatinib,0.95,100
NUP50,Imatinib,0.95,84.0627477508349
OSMR,Imatinib,0.95,84.0627477508349
PA2G4,Imatinib,0.95,84.0627477508349
PDHX,Imatinib,0.95,84.0627477508349
PPP1R8,Imatinib,0.95,84.0627477508349
PSMA7,Imatinib,0.95,84.0627477508349
PSMD1,Imatinib,0.95,84.0627477508349
PSMD13,Imatinib,0.95,84.0627477508349
PSPH,Imatinib,0.95,84.0627477508349
QDPR,Imatinib,0.95,84.0627477508349
RPL6,Imatinib,0.95,84.0627477508349
RRP12,Imatinib,0.95,84.0627477508349
SF3A1,Imatinib,0.95,84.0627477508349
SLC38A1,Imatinib,0.95,84.0627477508349
TOP1,Imatinib,0.95,84.0627477508349
TRAF4,Imatinib,0.95,84.0627477508349
APEX1,Imatinib,1,85.3198951014858
ARID4A,Imatinib,1,85.3198951014858
ATP6V0E1,Imatinib,1,85.3198951014858
BAX,Imatinib,1,98.7123214189051
CD47,Imatinib,1,85.3198951014858
CENPA,Imatinib,1,85.3198951014858
CGRRF1,Imatinib,1,98.7123214189051
CXCL8,Imatinib,1,100
DDX39A,Imatinib,1,100
DUSP4,Imatinib,1,85.3198951014858
EXOSC5,Imatinib,1,85.3198951014858
KYNU,Imatinib,1,85.3198951014858
NDUFS7,Imatinib,1,85.3198951014858
PLAT,Imatinib,1,98.7123214189051
PMAIP1,Imatinib,1,85.3198951014858
PREB,Imatinib,1,98.7123214189051
SP110,Imatinib,1,85.3198951014858
SPR,Imatinib,1,85.3198951014858
TGFB1,Imatinib,1,85.3198951014858
TNFSF9,Imatinib,1,85.3198951014858
EPCAM,Imatinib,0.95,86.6842305390585
EXT1,Imatinib,0.95,88.0332190011819
GNA15,Imatinib,0.95,88.0332190011819
ID2,Imatinib,0.95,88.0332190011819
IL1B,Imatinib,0.95,88.0332190011819
PERP,Imatinib,0.95,89.3822074633053
PSMB5,Imatinib,0.95,100
PSME3,Imatinib,0.95,88.0332190011819
SDC4,Imatinib,0.95,89.3822074633053
EXOSC7,Imatinib,1,89.3822074633053
GCH1,Imatinib,1,100
HS3ST1,Imatinib,1,88.0332190011819
LDLR,Imatinib,1,88.0332190011819
MRPL34,Imatinib,1,88.0332190011819
RPL34,Imatinib,1,88.0332190011819
SNRPA,Imatinib,1,89.3822074633053
TPM1,Imatinib,1,89.3822074633053
TRIM29,Imatinib,1,89.3822074633053
CCNG2,Imatinib,0.95,87.4088517045317
CREG1,Imatinib,0.95,87.4088517045317
EGFR,Imatinib,0.95,87.4088517045317
EMP2,Imatinib,0.95,87.4088517045317
IER2,Imatinib,0.95,87.4088517045317
IL4R,Imatinib,0.95,87.4088517045317
KCNN4,Imatinib,0.95,87.4088517045317
LDHA,Imatinib,0.95,87.4088517045317
NR4A2,Imatinib,0.95,87.4088517045317
OAS3,Imatinib,0.95,87.4088517045317
PKP3,Imatinib,0.95,87.4088517045317
PRDX5,Imatinib,0.95,87.4088517045317
RAB17,Imatinib,0.95,87.4088517045317
RPS6KA2,Imatinib,0.95,87.4088517045317
SERPINE1,Imatinib,0.95,87.4088517045317
SYMPK,Imatinib,0.95,87.4088517045317
TNFAIP3,Imatinib,0.95,87.4088517045317
TOMM22,Imatinib,0.95,100
TRIP10,Imatinib,0.95,87.4088517045317
EMP1,Imatinib,0.95,80.7359322169046
JUNB,Imatinib,0.95,81.9730997574658
LPAR1,Imatinib,0.95,80.7359322169046
PDK3,Imatinib,0.95,81.9730997574658
SLC12A2,Imatinib,0.95,81.9730997574658
TRIB2,Imatinib,0.95,100
BCL2L2,Imatinib,0.95,100
CHRNA5,Imatinib,0.95,100
DUSP5,Imatinib,0.95,100
FKBP2,Imatinib,0.95,100
HERC6,Imatinib,0.95,100
KRT17,Imatinib,0.95,100
LOXL1,Imatinib,0.95,100
NDUFB7,Imatinib,0.95,100
NNT,Imatinib,0.95,100
PRNP,Imatinib,0.95,100
PTTG1,Imatinib,0.95,100
RPL18,Imatinib,0.95,100
RUVBL2,Imatinib,0.95,100
BAG3,Imatinib,0.95,100
CSRP2,Imatinib,0.95,82.7940424902625
CXCL1,Imatinib,0.95,82.7940424902625
DUT,Imatinib,0.95,82.7940424902625
EIF4G2,Imatinib,0.95,82.7940424902625
FDXR,Imatinib,0.95,82.7940424902625
HELZ2,Imatinib,0.95,82.7940424902625
HRAS,Imatinib,0.95,82.7940424902625
IRF1,Imatinib,0.95,82.7940424902625
ISOC1,Imatinib,0.95,82.7940424902625
LGMN,Imatinib,0.95,82.7940424902625
LRPPRC,Imatinib,0.95,82.7940424902625
MRPL35,Imatinib,0.95,98.4907639893799
NDUFS6,Imatinib,0.95,82.7940424902625
PABPC1,Imatinib,0.95,82.7940424902625
PHB,Imatinib,0.95,82.7940424902625
PLSCR1,Imatinib,0.95,100
RRM1,Imatinib,0.95,82.7940424902625
SUPV3L1,Imatinib,0.95,82.7940424902625
SYNCRIP,Imatinib,0.95,82.7940424902625
TMPO,Imatinib,0.95,82.7940424902625
UNC13B,Imatinib,0.95,82.7940424902625
XRCC6,Imatinib,0.95,82.7940424902625
IFIT2,Imatinib,0.9,88.5890979509097
LAS1L,Imatinib,0.9,80.8510106753674
SERPINB2,Imatinib,0.9,82.2085172207555
GPI,Imatinib,0.95,100
ACAA1,Imatinib,0.85,82.7940424902625
ADRM1,Imatinib,0.85,98.4907639893799
CCT2,Imatinib,0.85,82.7940424902625
CDC25A,Imatinib,0.85,98.4907639893799
CDH3,Imatinib,0.85,82.7940424902625
CLNS1A,Imatinib,0.85,82.7940424902625
DHX15,Imatinib,0.85,98.4907639893799
DNMT1,Imatinib,0.85,82.7940424902625
EDIL3,Imatinib,0.85,98.4907639893799
EEF1B2,Imatinib,0.85,82.7940424902625
EEF2,Imatinib,0.85,82.7940424902625
ENDOD1,Imatinib,0.85,82.7940424902625
FJX1,Imatinib,0.85,82.7940424902625
GOT2,Imatinib,0.85,82.7940424902625
HNRNPA1,Imatinib,0.85,82.7940424902625
KHSRP,Imatinib,0.85,100
LBR,Imatinib,0.85,82.7940424902625
LYAR,Imatinib,0.85,82.7940424902625
MAP6,Imatinib,0.85,82.7940424902625
MRPL23,Imatinib,0.85,82.7940424902625
NBL1,Imatinib,0.85,82.7940424902625
NME1,Imatinib,0.85,82.7940424902625
NOLC1,Imatinib,0.85,82.7940424902625
NUP98,Imatinib,0.85,82.7940424902625
OGFR,Imatinib,0.85,82.7940424902625
PELI1,Imatinib,0.85,100
PLK1,Imatinib,0.85,82.7940424902625
PNP,Imatinib,0.85,82.7940424902625
PTGER4,Imatinib,0.85,82.7940424902625
RPS19,Imatinib,0.85,82.7940424902625
SNRPB,Imatinib,0.85,82.7940424902625
SNRPD2,Imatinib,0.85,100
TNFSF15,Imatinib,0.85,82.7940424902625
USO1,Imatinib,0.85,82.7940424902625
ADIPOR2,Imatinib,0.9,98.4907639893799
ATF3,Imatinib,0.9,82.7940424902625
CDC7,Imatinib,0.9,82.7940424902625
EIF1,Imatinib,0.9,82.7940424902625
EIF4E,Imatinib,0.9,82.7940424902625
FSCN1,Imatinib,0.9,82.7940424902625
GM2A,Imatinib,0.9,82.7940424902625
GPD2,Imatinib,0.9,82.7940424902625
IFIT1,Imatinib,0.9,82.7940424902625
KIF15,Imatinib,0.9,82.7940424902625
KIF22,Imatinib,0.9,82.7940424902625
PARP14,Imatinib,0.9,82.7940424902625
PRMT5,Imatinib,0.9,82.7940424902625
RPA2,Imatinib,0.9,82.7940424902625
RPS14,Imatinib,0.9,100
SRSF10,Imatinib,0.9,82.7940424902625
TPI1,Imatinib,0.9,82.7940424902625
TSKU,Imatinib,0.9,82.7940424902625
XBP1,Imatinib,0.9,82.7940424902625
ANPEP,Imatinib,0.9,82.7940424902625
CAP2,Imatinib,0.9,82.7940424902625
COPA,Imatinib,0.9,82.7940424902625
COX7B,Imatinib,0.9,82.7940424902625
DDIT4,Imatinib,0.9,82.7940424902625
ERH,Imatinib,0.9,82.7940424902625
FOS,Imatinib,0.9,82.7940424902625
HADH,Imatinib,0.9,82.7940424902625
HCCS,Imatinib,0.9,82.7940424902625
ITGA5,Imatinib,0.9,82.7940424902625
KLF6,Imatinib,0.9,82.7940424902625
MNAT1,Imatinib,0.9,82.7940424902625
ODC1,Imatinib,0.9,82.7940424902625
PARP9,Imatinib,0.9,100
PDHA1,Imatinib,0.9,82.7940424902625
PES1,Imatinib,0.9,82.7940424902625
PNPT1,Imatinib,0.9,82.7940424902625
PSME2,Imatinib,0.9,82.7940424902625
RAD50,Imatinib,0.9,82.7940424902625
RPL22,Imatinib,0.9,82.7940424902625
RPS10,Imatinib,0.9,82.7940424902625
RSL1D1,Imatinib,0.9,82.7940424902625
SNRPA1,Imatinib,0.9,82.7940424902625
TGFBI,Imatinib,0.9,82.7940424902625
TRIP13,Imatinib,0.9,89.8877852345112
VIM,Imatinib,0.9,82.7940424902625
CD82,Imatinib,1,86.4328726901418
GPX2,Imatinib,1,86.4328726901418
IFI30,Imatinib,1,86.4328726901418
KRT19,Imatinib,1,86.4328726901418
LIG1,Imatinib,1,86.4328726901418
NEDD4L,Imatinib,1,86.4328726901418
P2RY2,Imatinib,1,86.4328726901418
PLAU,Imatinib,1,86.4328726901418
PLOD3,Imatinib,1,86.4328726901418
PRKCH,Imatinib,1,86.4328726901418
PSMC3IP,Imatinib,1,86.4328726901418
SLC7A1,Imatinib,1,98.695523960347
TOMM40,Imatinib,1,86.4328726901418
VAMP8,Imatinib,1,86.4328726901418
BTG3,Imatinib,0.85,100
DKC1,Imatinib,0.85,88.0332190011819
NUDT15,Imatinib,0.85,86.6842305390585
NUFIP1,Imatinib,0.85,88.0332190011819
AGR2,Imatinib,0.9,89.9053891159964
ECI1,Imatinib,0.9,89.9053891159964
MAPK13,Imatinib,0.9,91.1723954538617
THBS2,Imatinib,0.9,91.1723954538617
CXCR6,Imatinib,0.925,89.3822074633053
ETFB,Imatinib,0.925,88.0332190011819
IPO7,Imatinib,0.925,88.0332190011819
SLC1A1,Imatinib,0.925,100
TIMM50,Imatinib,0.925,88.0332190011819
ACAT1,Imatinib,0.95,82.7940424902625
ACP1,Imatinib,0.95,82.7940424902625
BRCA2,Imatinib,0.95,82.7940424902625
BTG1,Imatinib,0.95,82.7940424902625
CADM1,Imatinib,0.95,82.7940424902625
CDKN3,Imatinib,0.95,82.7940424902625
CEBPA,Imatinib,0.95,82.7940424902625
DCXR,Imatinib,0.95,82.7940424902625
HMMR,Imatinib,0.95,82.7940424902625
JUP,Imatinib,0.95,82.7940424902625
MAD2L1,Imatinib,0.95,82.7940424902625
MATN2,Imatinib,0.95,82.7940424902625
MPHOSPH10,Imatinib,0.95,82.7940424902625
MYC,Imatinib,0.95,82.7940424902625
NDUFA9,Imatinib,0.95,82.7940424902625
PARP12,Imatinib,0.95,82.7940424902625
PCNA,Imatinib,0.95,82.7940424902625
PITPNB,Imatinib,0.95,82.7940424902625
PSMA1,Imatinib,0.95,100
PSMD7,Imatinib,0.95,82.7940424902625
PSMG1,Imatinib,0.95,82.7940424902625
RAD21,Imatinib,0.95,82.7940424902625
SRPRB,Imatinib,0.95,96.9815279787598
ATF4,Imatinib,1,82.7940424902625
CDC27,Imatinib,1,82.7940424902625
DCLRE1B,Imatinib,1,82.7940424902625
HMGCS1,Imatinib,1,98.4907639893799
IL16,Imatinib,1,82.7940424902625
KAZN,Imatinib,1,82.7940424902625
LY75,Imatinib,1,82.7940424902625
MYL9,Imatinib,1,82.7940424902625
NDUFA6,Imatinib,1,82.7940424902625
TMEM97,Imatinib,1,82.7940424902625
TRIM25,Imatinib,1,82.7940424902625
ANKRA2,Imatinib,1,82.7940424902625
MVB12A,Imatinib,1,82.7940424902625
NDUFC2,Imatinib,1,100
PHF5A,Imatinib,1,100
BCL2L1,Imatinib,1,85.3198951014858
CYB5A,Imatinib,1,85.3198951014858
S100A10,Imatinib,1,85.3198951014858
SLC27A2,Imatinib,1,85.3198951014858
STAT2,Imatinib,1,85.3198951014858
STC1,Imatinib,1,85.3198951014858
DLST,Imatinib,0.95,85.3198951014858
DUSP1,Imatinib,0.95,100
EIF2AK2,Imatinib,0.95,85.3198951014858
KLF4,Imatinib,0.95,85.3198951014858
MTHFD2,Imatinib,0.95,85.3198951014858
MTRR,Imatinib,0.95,85.3198951014858
POLE4,Imatinib,0.95,85.3198951014858
PSMD14,Imatinib,0.95,85.3198951014858
PTS,Imatinib,0.95,85.3198951014858
RBBP7,Imatinib,0.95,85.3198951014858
RPLP0,Imatinib,0.95,85.3198951014858
SF3B3,Imatinib,0.95,85.3198951014858
SLC3A2,Imatinib,0.95,85.3198951014858
ZFP36,Imatinib,0.95,85.3198951014858
ALDH18A1,Imatinib,0.95,85.3198951014858
DCTPP1,Imatinib,0.95,85.3198951014858
DNAJA1,Imatinib,0.95,85.3198951014858
EWSR1,Imatinib,0.95,85.3198951014858
FLNB,Imatinib,0.95,85.3198951014858
GLA,Imatinib,0.95,85.3198951014858
HSD17B10,Imatinib,0.95,85.3198951014858
NRIP1,Imatinib,0.95,85.3198951014858
